set,day_no,day_title,sort_order,headword,word_type,meaning_ko,meanings
advanced,1,,1,provide,,,
advanced,1,,2,develop,,,
advanced,1,,3,cultural,,,
advanced,1,,4,inform,,,
advanced,1,,5,social,,,
advanced,1,,6,improve,,,
advanced,1,,7,individual,,,
advanced,1,,8,require,,,
advanced,1,,9,volunteer,,,
advanced,1,,10,behave,,,
advanced,1,,11,amount,,,
advanced,1,,12,relationship,,,
advanced,1,,13,employ,,,
advanced,1,,14,attitude,,,
advanced,1,,15,research,,,
advanced,1,,16,audience,,,
advanced,1,,17,challenge,,,
advanced,1,,18,influence,,,
advanced,1,,19,material,,,
advanced,1,,20,opportunity,,,
advanced,1,,21,environment,,,
advanced,1,,22,expense,,,
advanced,1,,23,local,,,
advanced,1,,24,involve,,,
advanced,1,,25,stress,,,
advanced,1,,26,therefore,,,
advanced,1,,27,contain,,,
advanced,1,,28,average,,,
advanced,1,,29,ride,,,
advanced,1,,30,encourage,,,
advanced,1,,31,determine,,,
advanced,1,,32,international,,,
advanced,1,,33,consume,,,
advanced,1,,34,impress,,,
advanced,1,,35,object,,,
advanced,1,,36,available,,,
advanced,1,,37,positive,,,
advanced,1,,38,recognize,,,
advanced,1,,39,commodity,,,
advanced,1,,40,comfort,,,
advanced,2,,1,emotion,,,
advanced,2,,2,amaze,,,
advanced,2,,3,reduce,,,
advanced,2,,4,discover,,,
advanced,2,,5,decide,,,
advanced,2,,6,benefit,,,
advanced,2,,7,affect,,,
advanced,2,,8,level,,,
advanced,2,,9,chemistry,,,
advanced,2,,10,immediate,,,
advanced,2,,11,thus,,,
advanced,2,,12,proper,,,
advanced,2,,13,performance,,,
advanced,2,,14,essence,,,
advanced,2,,15,economic,,,
advanced,2,,16,cell,,,
advanced,2,,17,focus,,,
advanced,2,,18,issue,,,
advanced,2,,19,participate,,,
advanced,2,,20,demand,,,
advanced,2,,21,occur,,,
advanced,2,,22,complex,,,
advanced,2,,23,define,,,
advanced,2,,24,proud,,,
advanced,2,,25,aware,,,
