set,day_no,day_title,sort_order,headword,word_type,meaning_ko,meanings
beginner,1,,1,provide,,,
beginner,1,,2,grief,,,
beginner,1,,3,reject,,,
beginner,1,,4,improve,,,
beginner,1,,5,superior,,,
beginner,1,,6,express,,,
beginner,1,,7,disappear,,,
beginner,1,,8,run into,,,
beginner,1,,9,slight,,,
beginner,1,,10,belief,,,
beginner,1,,11,common,,,
beginner,1,,12,recover,,,
beginner,1,,13,situation,,,
beginner,1,,14,practical,,,
beginner,1,,15,seek,,,
beginner,1,,16,advanced,,,
beginner,1,,17,success,,,
beginner,1,,18,failure,,,
beginner,1,,19,similar,,,
beginner,1,,20,experience,,,
beginner,1,,21,aim,,,
beginner,1,,22,include,,,
beginner,1,,23,indifferent,,,
beginner,1,,24,emotion,,,
beginner,1,,25,moment,,,
beginner,1,,26,certain,,,
beginner,1,,27,supply,,,
beginner,1,,28,emerge,,,
beginner,1,,29,refuse,,,
beginner,1,,30,carry out,,,
beginner,1,,31,consider,,,
beginner,1,,32,accept,,,
beginner,1,,33,inferior,,,
beginner,1,,34,produce,,,
beginner,1,,35,fade,,,
beginner,1,,36,depend on[upon],,,
beginner,1,,37,share,,,
beginner,1,,38,increase,,,
beginner,1,,39,decrease,,,
beginner,1,,40,quantity,,,
beginner,2,,1,expose,,,
beginner,2,,2,historical,,,
beginner,2,,3,get along with,,,
beginner,2,,4,reveal,,,
beginner,2,,5,chase,,,
beginner,2,,6,local,,,
beginner,2,,7,perceive,,,
beginner,2,,8,conceal,,,
beginner,2,,9,illegal,,,
beginner,2,,10,dedicate,,,
beginner,2,,11,separate,,,
beginner,2,,12,overcome,,,
beginner,2,,13,rapid,,,
beginner,2,,14,random,,,
beginner,2,,15,amount,,,
beginner,2,,16,charity,,,
beginner,2,,17,decade,,,
beginner,2,,18,mislead,,,
beginner,2,,19,exhausted,,,
beginner,2,,20,devote,,,
beginner,2,,21,expert,,,
beginner,2,,22,process,,,
beginner,2,,23,deserve,,,
beginner,2,,24,found,,,
beginner,2,,25,accomplish,,,
beginner,2,,26,combine,,,
beginner,2,,27,continue,,,
beginner,2,,28,establish,,,
beginner,2,,29,achieve,,,
beginner,2,,30,deal with,,,
beginner,2,,31,vital,,,
beginner,2,,32,reliable,,,
beginner,2,,33,crime,,,
beginner,2,,34,organ,,,
beginner,2,,35,lead to,,,
beginner,2,,36,unite,,,
beginner,2,,37,complete,,,
beginner,2,,38,connect,,,
beginner,2,,39,recognize,,,
beginner,2,,40,period,,,
beginner,3,,1,resolution,,,
beginner,3,,2,negative,,,
beginner,3,,3,involve,,,
beginner,3,,4,direct,,,
beginner,3,,5,benefit,,,
beginner,3,,6,encourage,,,
beginner,3,,7,trait,,,
beginner,3,,8,participate in,,,
beginner,3,,9,search,,,
beginner,3,,10,disturb,,,
beginner,3,,11,diverse,,,
beginner,3,,12,detail,,,
beginner,3,,13,official,,,
beginner,3,,14,profit,,,
beginner,3,,15,revise,,,
beginner,3,,16,research,,,
beginner,3,,17,alter,,,
beginner,3,,18,concentrate,,,
beginner,3,,19,medical,,,
beginner,3,,20,income,,,
beginner,3,,21,material,,,
beginner,3,,22,ignore,,,
beginner,3,,23,mark,,,
beginner,3,,24,opportunity,,,
beginner,3,,25,discourage,,,
beginner,3,,26,contact,,,
